recommendation_id,user_id,track_id,recommended_at,reason,model_version,confidence_score,is_clicked,is_saved
462.0,2458,1801,CURRENT_TIMESTAMP,Government our wear boy.,,424.27,,FALSE
4537.0,4638,2075,CURRENT_TIMESTAMP,Method impact goal game different.,Store hear eye ask real issue.,633.24,FALSE,FALSE
553.0,1749,8274,,Action admit our stay.,Base expert instead.,893.53,FALSE,
8401.0,322,4198,CURRENT_TIMESTAMP,Green.,Week.,736.99,FALSE,FALSE
,4848,1976,,Capital young fear.,Pull group police.,939.69,,
9969.0,3235,5905,CURRENT_TIMESTAMP,Fight.,,426.57,FALSE,FALSE
,3598,1761,CURRENT_TIMESTAMP,Six.,Service college.,139.95,FALSE,FALSE
1755.0,667,5145,CURRENT_TIMESTAMP,Page order speak.,Manager nearly make.,764.04,FALSE,FALSE
3591.0,7423,9200,CURRENT_TIMESTAMP,Something success whatever about.,Teach possible boy industry.,948.13,FALSE,FALSE
3708.0,280,8454,CURRENT_TIMESTAMP,Tonight.,Subject offer of behavior.,,FALSE,FALSE
636.0,5448,377,CURRENT_TIMESTAMP,Win less.,Say major shoulder such.,,FALSE,FALSE
4365.0,8938,9654,CURRENT_TIMESTAMP,Against political wall.,,80.72,FALSE,FALSE
9459.0,2200,7438,CURRENT_TIMESTAMP,Great several image manage program.,Task.,615.52,FALSE,FALSE
1184.0,3316,9968,CURRENT_TIMESTAMP,Role light father debate rise.,Over guy treatment.,398.95,,
4467.0,3462,7813,,Answer rather.,Mean line wrong knowledge.,267.28,FALSE,FALSE
2211.0,3809,3721,CURRENT_TIMESTAMP,Sure the.,Claim theory property public.,185.69,FALSE,FALSE
206.0,9402,5115,CURRENT_TIMESTAMP,Admit news above drug.,Talk within strategy.,456.33,FALSE,
,4239,4179,CURRENT_TIMESTAMP,Tv ready since trip.,Least this let worry.,991.2,FALSE,FALSE
5100.0,6251,5970,CURRENT_TIMESTAMP,TV than relationship.,They green receive later.,391.7,FALSE,FALSE
6040.0,2229,7600,CURRENT_TIMESTAMP,Throw necessary top.,Meet see son.,280.1,FALSE,
5635.0,6776,2139,CURRENT_TIMESTAMP,Attack a it.,Answer somebody dinner.,994.96,FALSE,FALSE
,3870,6532,CURRENT_TIMESTAMP,Way go everyone yet court.,Close skin.,763.38,FALSE,FALSE
4984.0,5135,7027,CURRENT_TIMESTAMP,Where door sign.,Recognize do.,124.29,FALSE,
536.0,7380,5209,CURRENT_TIMESTAMP,Nor son still agree why nice table.,Than language middle TV page.,66.32,FALSE,FALSE
6261.0,9043,4917,CURRENT_TIMESTAMP,Left image play spend instead speak.,Reach every nice in.,578.1,,FALSE
4347.0,7839,5229,CURRENT_TIMESTAMP,Meeting change attack event strategy.,,749.04,FALSE,FALSE
9153.0,3202,1017,CURRENT_TIMESTAMP,Article church involve seven left top.,Bad hot professor.,90.15,FALSE,FALSE
1647.0,3708,960,CURRENT_TIMESTAMP,Better member.,Unit help from rest seven college.,725.07,FALSE,FALSE
9884.0,5496,2033,CURRENT_TIMESTAMP,Rise standard goal PM.,Point local road company.,393.59,,FALSE
6262.0,1437,9086,CURRENT_TIMESTAMP,Born too none quickly.,,,FALSE,FALSE
2664.0,2294,6916,CURRENT_TIMESTAMP,Operation true.,Need weight under stage sense cost.,922.43,FALSE,FALSE
1433.0,8196,5274,CURRENT_TIMESTAMP,Very test air meet.,Summer environmental bed image.,243.88,FALSE,FALSE
9395.0,825,2115,,,Practice trial wish position apply.,232.43,FALSE,
9302.0,8570,4227,CURRENT_TIMESTAMP,Teach your recently.,Term.,434.85,FALSE,
9506.0,9004,9357,CURRENT_TIMESTAMP,Plant field.,Moment heart end fund white.,869.13,,FALSE
3074.0,8951,7740,CURRENT_TIMESTAMP,Open nearly fight too.,Lawyer small.,559.53,FALSE,FALSE
661.0,6912,5682,CURRENT_TIMESTAMP,Book.,Put sign toward interview among able.,694.45,FALSE,FALSE
3012.0,2840,2788,CURRENT_TIMESTAMP,At.,Some program.,174.21,FALSE,FALSE
2959.0,82,4903,CURRENT_TIMESTAMP,,Finish leg just.,4.4,FALSE,FALSE
55.0,4600,281,CURRENT_TIMESTAMP,,Your allow.,80.3,FALSE,FALSE
,1375,7323,CURRENT_TIMESTAMP,Executive.,,813.97,FALSE,FALSE
,3098,8892,CURRENT_TIMESTAMP,What special military me over.,Open.,909.49,FALSE,
6893.0,3616,5260,CURRENT_TIMESTAMP,Guy information.,TV.,42.17,,FALSE
7618.0,5497,8444,CURRENT_TIMESTAMP,Television.,Age her evidence lose even break.,968.19,FALSE,FALSE
4069.0,4094,9502,CURRENT_TIMESTAMP,Long yourself start.,Safe politics another carry attack.,133.9,FALSE,FALSE
5815.0,4146,2493,CURRENT_TIMESTAMP,Suffer.,Red never here middle degree.,189.28,FALSE,FALSE
3997.0,3017,2970,CURRENT_TIMESTAMP,Voice although word hold.,Which trade box dream wife.,576.32,FALSE,FALSE
236.0,5211,4935,CURRENT_TIMESTAMP,Push.,Organization.,46.05,FALSE,FALSE
6367.0,7549,1129,CURRENT_TIMESTAMP,Sense feel a fill race.,Center course.,682.85,FALSE,FALSE
,1078,4258,CURRENT_TIMESTAMP,Whose writer reality standard.,Their suggest born set.,574.8,FALSE,FALSE
6187.0,8863,429,CURRENT_TIMESTAMP,Account pattern up natural interest.,By easy let its.,254.07,FALSE,FALSE
955.0,4795,2420,CURRENT_TIMESTAMP,Join thus win.,Piece power court everything none.,,,FALSE
,9417,1678,CURRENT_TIMESTAMP,Public can if.,Role at must our. Sing real happen must.,,FALSE,FALSE
7307.0,3820,9677,CURRENT_TIMESTAMP,Staff in low open.,,874.3,FALSE,FALSE
